chromosome	start	end	name	score
scaffold_12943	507	1262	fgenesh1_pg.scaffold_12943000001	0
scaffold_13053	15	1272	fgenesh1_pg.scaffold_13053000001	0
scaffold_13169	1	1244	fgenesh1_pg.scaffold_13169000001	0
scaffold_13170	244	721	fgenesh1_pg.scaffold_13170000001	0
scaffold_13178	909	1259	fgenesh1_pg.scaffold_13178000001	0
scaffold_13181	52	1154	fgenesh1_pg.scaffold_13181000001	0
scaffold_13336	395	811	fgenesh1_pg.scaffold_13336000001	0
scaffold_13379	5	778	fgenesh1_pg.scaffold_13379000001	0
scaffold_13409	30	1082	fgenesh1_pg.scaffold_13409000001	0
scaffold_13447	19	1227	fgenesh1_pg.scaffold_13447000001	0
scaffold_13483	15	1250	fgenesh1_pg.scaffold_13483000001	0
scaffold_13508	25	720	fgenesh1_pg.scaffold_13508000001	0
scaffold_13543	278	724	fgenesh1_pg.scaffold_13543000001	0
scaffold_13547	248	1165	fgenesh1_pg.scaffold_13547000001	0
scaffold_13572	159	1196	fgenesh1_pg.scaffold_13572000001	0
scaffold_13598	16	567	fgenesh1_pg.scaffold_13598000001	0
scaffold_13605	18	821	fgenesh1_pg.scaffold_13605000001	0
scaffold_13613	43	499	fgenesh1_pg.scaffold_13613000001	0
scaffold_13646	423	1069	fgenesh1_pg.scaffold_13646000001	0
scaffold_13653	4	1055	fgenesh1_pg.scaffold_13653000001	0
scaffold_13669	3	521	fgenesh1_pg.scaffold_13669000001	0
scaffold_13786	203	1213	fgenesh1_pg.scaffold_13786000001	0
scaffold_13858	369	701	fgenesh1_pg.scaffold_13858000001	0
scaffold_13864	232	867	fgenesh1_pg.scaffold_13864000001	0
scaffold_13925	9	1225	fgenesh1_pg.scaffold_13925000001	0
scaffold_13946	372	1070	fgenesh1_pg.scaffold_13946000001	0
scaffold_13975	503	1057	fgenesh1_pg.scaffold_13975000001	0
scaffold_14001	152	1195	fgenesh1_pg.scaffold_14001000001	0
scaffold_14090	450	1202	fgenesh1_pg.scaffold_14090000001	0
scaffold_14097	229	1051	fgenesh1_pg.scaffold_14097000001	0
scaffold_14167	84	891	fgenesh1_pg.scaffold_14167000001	0
scaffold_14258	271	1005	fgenesh1_pg.scaffold_14258000001	0
scaffold_14271	552	1157	fgenesh1_pg.scaffold_14271000001	0
scaffold_14441	138	1180	fgenesh1_pg.scaffold_14441000001	0
scaffold_14461	218	817	fgenesh1_pg.scaffold_14461000001	0
scaffold_14488	313	1103	fgenesh1_pg.scaffold_14488000001	0
scaffold_14548	254	655	fgenesh1_pg.scaffold_14548000001	0
scaffold_14603	268	1156	fgenesh1_pg.scaffold_14603000001	0
scaffold_14604	438	743	fgenesh1_pg.scaffold_14604000001	0
scaffold_14633	40	993	fgenesh1_pg.scaffold_14633000001	0
scaffold_14659	28	1167	fgenesh1_pg.scaffold_14659000001	0
scaffold_14689	219	1128	fgenesh1_pg.scaffold_14689000001	0
scaffold_14742	12	874	fgenesh1_pg.scaffold_14742000001	0
scaffold_14884	1	1070	fgenesh1_pg.scaffold_14884000001	0
scaffold_15017	339	1006	fgenesh1_pg.scaffold_15017000001	0
